OID_,Join_Count,TARGET_FID,GlobalID,COR_STREET,COR_BEGIN_,COR_END_DE,ST_TYPE_ST,COR_LENGTH,COR_ST_TYP,COR_WIDTH,DIRECTION_,LANE_COUNT,LEAF_ID,yr_repave,surface,street_id,duke_poles,lite_poles,sidewalks,any_poles,treat_year,prev_treat,treat_25,potential,sqyd_est,BUFF_DIST,ORIG_FID,pointid,grid_code,Shape_Length,Shape_Area
23,1,23,14def881-7c22-4bd2-9346-47f40646fd83,DREXEL,E. ROWAN ST,WESTRIDGE DR,Dr,1073.000000000000000,8.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,1982.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,2622.888888888889142,35.000000000000000,22,55193,6,0.008406940427869,0.000002652053761
24,1,24,8cb076ea-76d6-4ad1-91b5-3c0be20feaba,DRIEWOOD,CDS,CEDARWOOD DR,Ct,132.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2001.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,322.666666666666629,35.000000000000000,23,52083,6,0.003031900117010,0.000000641548020
25,1,25,563f5070-8cb8-4d34-a99f-e314ffb39fe2,DRIFTWOOD,DEBOY ST,BAYFIELD DR,Dr,355.000000000000000,8.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,1998.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,867.777777777777715,35.000000000000000,24,82414,6,0.004616775012841,0.000001169789878
26,1,26,9002edbc-8bf5-405d-96b2-69538cf2aad7,DRIFTWOOD,BAYFIELD DR,POWELL DR,Dr,1132.000000000000000,8.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,1998.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,2767.111111111110858,35.000000000000000,25,82410,6,0.009952583355619,0.000002825379327
27,1,27,382362df-e0f9-4b97-8eda-4d01631debe7,DROLMOND,MOURNING DOVE RD,JANET CT,Dr,526.000000000000000,8.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,1998.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1285.777777777777828,35.000000000000000,26,37640,6,0.005606063147209,0.000001510950650
28,1,28,77376853-7c03-4554-85a0-011ee686da09,DROLMOND,JANET CT,CDS,Dr,546.000000000000000,8.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,1998.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1334.666666666666515,35.000000000000000,27,37251,11,0.005525552895604,0.000001561736586
29,1,29,9bde0408-d405-461d-b7ed-4e0d747ace02,DRUMMOND,LANDOR RD,KEATS PL,Dr,490.000000000000000,8.000000000000000,23.000000000000000,0.000000000000000,2.000000000000000,1A,1992.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1252.222222222222399,35.000000000000000,28,62597,6,0.005621501338215,0.000001458888571
30,1,30,90b6ffed-1bdd-4f52-9a71-3e7cf4e06175,DRUMMOND,KEATS PL,MARLOWE RD N.,Dr,366.000000000000000,8.000000000000000,23.000000000000000,0.000000000000000,2.000000000000000,1A,1992.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,935.333333333333371,35.000000000000000,29,62596,6,0.004542646911397,0.000001146568209
31,1,31,5ec85ea0-171f-4d8d-b225-97e39df7ddb8,DRUMMOND,MARLOWE RD N.,MARLOWE RD S.,Dr,1516.000000000000000,8.000000000000000,23.000000000000000,0.000000000000000,2.000000000000000,1A,1992.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,3874.222222222222172,35.000000000000000,30,62596,6,0.011805377564886,0.000003675241343
32,1,32,e79d83c0-4312-418d-9d7b-ff006d162848,DRYDEN,MARLOWE RD,CDS,Ct,190.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,464.444444444444457,35.000000000000000,31,62195,6,0.003426354635953,0.000000787024132
33,1,33,8cdba0e0-acb8-41cb-9f39-3f640a37fef4,DUBLIN,SIX FORKS RD,END C&G,Rd,374.000000000000000,15.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1080.444444444444343,35.000000000000000,32,48562,6,0.004578587386876,0.000001179599117
34,1,34,907939cf-4f24-4696-946f-91175264224c,DUBLIN,SHAWOOD DR,BEG C&G,Rd,243.000000000000000,15.000000000000000,19.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,513.000000000000000,35.000000000000000,33,48567,6,0.003863486376178,0.000000909153670
35,1,35,e25c6a43-1258-4fe1-8706-1ef18e4c9b04,DUBLIN,BEG C&G,CDS,Rd,162.000000000000000,15.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,467.999999999999943,35.000000000000000,34,48568,6,0.003444574558379,0.000000776651543
36,1,36,fdb4f7af-7cc4-48fd-ba5e-14792edbc95d,DUCKWORTH,WYNEWOOD DR,CDS,Ct,314.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2017.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000,2020,1.000000000000000,0.000000000000000,0.000000000000000,767.555555555555543,35.000000000000000,35,38126,6,0.004009084556580,0.000001001365035
37,1,37,fd1e83ff-2f78-42e0-8c25-3fc08d26e456,DUDLEY,DELANY DR,CDS,Cr,157.000000000000000,5.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2014.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,383.777777777777771,35.000000000000000,36,79399,6,0.003297318770508,0.000000725990131
38,1,38,aaf1ed17-0d06-44db-ab14-265cac9db1ee,DUFFY,CURFMAN ST,END PVMT #1234,Pl,630.000000000000000,12.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1540.000000000000000,35.000000000000000,37,90276,6,0.005891325427994,0.000001750529097
39,1,39,4a6f6670-c898-4620-b112-49b5117d9bc4,DUKE,SWEETBRIAR DR,LATIMER RD,Dr,372.000000000000000,8.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,1999.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,909.333333333333258,35.000000000000000,38,52862,6,0.004678307029261,0.000001162031373
40,1,40,165e8740-174a-45a4-8127-c4606290d7ba,DUKE,LATIMER RD,AUBURN RD,Dr,910.000000000000000,8.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2001.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,2224.444444444444343,35.000000000000000,39,52863,6,0.008332631331755,0.000002313548468
41,1,41,b234be5c-1fd6-47fa-854a-b66bd4195679,DUMFRIES,OLD FORGE CR,WINDBUR PL,Dr,383.000000000000000,8.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2009.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,936.222222222222172,35.000000000000000,40,48200,6,0.004299862869779,0.000001186344773
42,1,42,dc6c3ab1-d6fb-40c5-9a3d-2749c95f192e,DUMFRIES,WINDBUR PL,ELBERON PL,Dr,421.000000000000000,8.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2009.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1029.111111111111086,35.000000000000000,41,47810,6,0.004529217725668,0.000001275568265
43,1,43,dc317234-7089-4e1a-8404-5720a7e328a4,DUMFRIES,ELBERON PL,FALLS CHURCH RD,Dr,328.000000000000000,8.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2009.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,801.777777777777715,35.000000000000000,42,47420,6,0.004098492444349,0.000001107108142
44,1,44,79984acd-d3a1-4c31-959b-2d74542e15b6,DUNBAR,ASHBURTON RD,GENEVA ST,Rd,649.000000000000000,15.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,1992.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1586.444444444444343,35.000000000000000,43,85928,11,0.006591672008355,0.000001794102461
45,1,45,3aa38c5b-b35d-4605-9cd3-978c76b2d81b,DUNCAN,BICKETT BV,WILLS AV,St,360.000000000000000,18.000000000000000,20.000000000000000,0.000000000000000,2.000000000000000,1A,1998.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,800.000000000000000,35.000000000000000,44,72740,6,0.004587541549438,0.000001153513691
46,1,46,d70f2b80-1e18-4e61-8aa8-6ae78f588b82,DUNCAN,WILLS AV,SUNSET DR,St,437.000000000000000,18.000000000000000,20.000000000000000,0.000000000000000,2.000000000000000,1A,1998.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,971.111111111111086,35.000000000000000,45,73128,6,0.005006897569947,0.000001317459451
47,1,47,69e5eb43-d3d9-4aef-b75d-c0bd735d507b,DUNCAN,SUNSET DR,FAIRVIEW RD,St,422.000000000000000,18.000000000000000,20.000000000000000,0.000000000000000,2.000000000000000,1A,1998.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,937.777777777777715,35.000000000000000,46,73128,6,0.004798274592459,0.000001298175966
48,1,48,428c1da5-0e16-4827-964f-497ff611eca7,DUNDEE,WEAVER DR,CDS,Pl,201.000000000000000,12.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,1993.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,491.333333333333314,35.000000000000000,47,53555,6,0.003288961752991,0.000000795636311
49,1,49,ff6ab468-64d0-410b-a0db-d98a74452c15,DUNES,CDS,RAINWATER RD,Ct,135.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,330.000000000000000,35.000000000000000,48,38070,6,0.003059517434750,0.000000651904384
50,1,50,4bedd0f3-e1bd-48f5-9f4f-5f5632bafdb9,DUNHILL,MEDWAY DR,OXFORD RD,Dr,456.000000000000000,8.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,1997.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1114.666666666666515,35.000000000000000,49,67286,6,0.005501770971506,0.000001441931692
51,1,51,27e050c0-1b42-4451-a4d3-27754bdcbd44,DUNKIRK,BEG C&G #2905,LAUREL MOUNTAIN RD,Dr,118.000000000000000,8.000000000000000,23.000000000000000,0.000000000000000,2.000000000000000,1A,2000.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,301.555555555555600,35.000000000000000,50,36023,11,0.002962266941705,0.000000621987461
52,1,52,1a9804a1-34bd-4f70-a1e4-0899344ac9bc,DUNKIRK,LAUREL MOUNTAIN RD,CDS,Dr,395.000000000000000,8.000000000000000,23.000000000000000,0.000000000000000,2.000000000000000,1A,2000.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1009.444444444444457,35.000000000000000,51,36021,11,0.004805677824277,0.000001206216580
53,1,53,b28bdc2d-feaf-4cd6-b353-ab24e5e42959,DUNSINANE,KILCULLEN DR,CDS,Ct,310.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2007.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,757.777777777777715,35.000000000000000,52,58757,6,0.004362078520414,0.000001081027624
54,1,54,7f3b50db-d058-4e35-8132-cd6b2c501ae8,DUPLIN,WADE AVE,GRANT AV,Rd,639.000000000000000,15.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2004.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1562.000000000000000,35.000000000000000,53,73485,6,0.005714959332045,0.000001739227879
