OID_,Join_Count,TARGET_FID,GlobalID,COR_STREET,COR_BEGIN_,COR_END_DE,ST_TYPE_ST,COR_LENGTH,COR_ST_TYP,COR_WIDTH,DIRECTION_,LANE_COUNT,LEAF_ID,yr_repave,surface,street_id,duke_poles,lite_poles,sidewalks,any_poles,treat_year,prev_treat,treat_25,potential,sqyd_est,UHI_Qtile,Shape_Length
7908,1,7907,56970ee8-5403-4c1a-a09d-295f7fb758e4,WORTH,S. PERSON ST,ELLINGTON ST,St,244.000000000000000,18.000000000000000,22.000000000000000,3.000000000000000,2.000000000000000,1A,1994.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,596.444444444444343,10,0.000821202244038
7909,1,7908,53790408-10cf-4ac3-903c-71da0e200645,CARDINAL GROVE,HOLLY FOREST DR,EAGLES LANDING DR,Bv,440.000000000000000,4.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1271.111111111110858,5,0.001216996578594
7910,1,7909,64b94f59-5f69-46a7-aadf-90b98e198f02,CHARLESTON PARK,VENDUE RANGE DR,PEYTON HALL WY,Dr,1076.000000000000000,8.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,2021.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000,2024,1.000000000000000,0.000000000000000,0.000000000000000,3108.444444444444343,8,0.002992259359268
7911,1,7910,d09c1d02-a1cb-4719-9b94-3631ed4f176f,WORTH,ELLINGTON ST,S. BLOODWORTH ST,St,239.000000000000000,18.000000000000000,22.000000000000000,3.000000000000000,2.000000000000000,1A,1994.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,584.222222222222285,10,0.000817618753283
7912,1,7911,e147fc3d-3e56-4f08-a4ff-d2f993a51683,CARRIAGE PINE,KNOLLBROOK CT,EAGLE LANDING DR,Dr,388.000000000000000,8.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1120.888888888888914,5,0.001050692171809
7913,0,7912,a7a6f8e5-4579-4b61-873e-d8fd5e9d9ae1,UJAMAA,CYRUS ST,IDLEWOOD VILLAGE DR,Dr,1120.000000000000000,8.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,2015.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,3235.555555555555202,,0.003738914170438
7914,1,7913,c3f8e88a-6127-454c-a151-b77dfa233be4,WORTH,S. BLOODWORTH ST,S. EAST ST,St,259.000000000000000,18.000000000000000,30.000000000000000,3.000000000000000,2.000000000000000,1A,1989.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,863.333333333333258,10,0.000928774312083
7915,1,7914,35c8fd7f-7873-4833-8c60-16cfd1d893bd,CARRIAGE PINE,CROFTWOOD DR,KNOLLBROOK CT,Dr,435.000000000000000,8.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1256.666666666666515,5,0.001274716863664
7916,0,7915,b3cbc902-5bdb-4e58-89a0-7ca2f35c7506,CHATMOSS,E. TALBOT CT,BARWELL RD,Dr,346.000000000000000,8.000000000000000,27.000000000000000,0.000000000000000,2.000000000000000,1A,2016.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1038.000000000000000,,0.001081052751098
7917,1,7916,8f6c82ae-230a-4115-920d-709a6c786cd6,WORTH,S. EAST ST,CAPE AV,St,279.000000000000000,18.000000000000000,30.000000000000000,3.000000000000000,2.000000000000000,1A,1999.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,930.000000000000000,10,0.000933489362615
