OBJECTID_1,Active,Street Surface ,COMMENT_STR,COR_BEGIN_DESC,Block Number,COR_COUNCIL_ID,COR_CURB_NUM_ID,COR_EDITNOTE,COR_END_DESC,Leaf Zone,Length(ft),MSD,COR_STREET_NAME,COR_ST_TYPE_ID,COR_SW_NUM_ID,COR_WAKE_ID,Width,County ID,DATE_UPDATE,DIRECTION_ID,EFF_YEAR,Functional Class,Lane Count,PMS_SECTION_ID,USER_UPDATE,COMMENT_ID,GIS ID,LAST_YEAR_CONSTR,Owner,TEMPO_BIRTH_DATE,TEMPO_EFF_BIRTH_DATE,TEMPO_EFF_DEATH_DATE,TKG_PROJ_GROUP_ID,COR_LAST_TRT_COMPL_DATE,COR_INVENTORY_DATE,COR_STREET_GROUP_NUM,AARB_ROADNO,LAST_YEAR_MAINT,LAST_YEAR_PRES,LAST_YEAR_RESURFACING,SE_ANNO_CAD_DATA,GLOBALID_1,COR_FACILITY_ID,COR_ACTIVE_CAT_ID,COR_MSD_ID,GlobalID,OBJECTID,PMS_SECTION_ID,Shape__Length,Leaf ID,ST_TYPE_STRING
27,1,1,,MOURNING DOVE RD,400,1,2, ,JANET CT,0,526,0,DROLMOND,8,0,26408,22,105,2/26/2020 12:00:00 AM,,,7,2,1640,BRIAN,,1640,0,1317,3/25/2022 12:00:00 AM,,,1743,,,0,DROLMONDDR,0,0,1998,System.Byte[],{c368d3f9-13a0-4d5a-ad63-27ab67abb4ec},16608,1,0,382362df-e0f9-4b97-8eda-4d01631debe7,10659,1640,0.00169665601726778,1A,Dr
28,1,1,,JANET CT,500,1,2, ,CDS,0,546,0,DROLMOND,8,0,30063,22,105,2/26/2020 12:00:00 AM,,,7,2,1641,BRIAN,,1641,0,1317,3/25/2022 12:00:00 AM,,,1743,,,0,DROLMONDDR,0,0,1998,System.Byte[],{4c910a9c-1517-4b25-9fd6-f736abde26cb},6312,1,0,77376853-7c03-4554-85a0-011ee686da09,2535,1641,0.0016577451419908,1A,Dr
29,1,1,,LANDOR RD,200,5,2, ,KEATS PL,0,490,0,DRUMMOND,8,0,35178,23,105,2/26/2020 12:00:00 AM,,,7,2,1642,BRIAN,,1642,0,1317,3/25/2022 12:00:00 AM,,,1745,,,0,DRUMMONDDR,0,0,1992,System.Byte[],{019e8f69-0205-4988-ba63-58dd72da234f},19885,1,0,9bde0408-d405-461d-b7ed-4e0d747ace02,813,1642,0.00170453979505064,1A,Dr
30,1,1,,KEATS PL,300,5,2, ,MARLOWE RD N.,0,366,0,DRUMMOND,8,0,30978,23,105,2/26/2020 12:00:00 AM,,,7,2,1643,BRIAN,,1643,0,1317,3/25/2022 12:00:00 AM,,,1745,,,0,DRUMMONDDR,0,0,1992,System.Byte[],{90e77784-0e0b-4f7a-a2ea-33b9b69f0a8b},1176,1,0,90b6ffed-1bdd-4f52-9a71-3e7cf4e06175,5029,1643,0.00116524148648381,1A,Dr
31,1,1,,MARLOWE RD N.,400,5,2, ,MARLOWE RD S.,0,1516,0,DRUMMOND,8,0,34377,23,105,2/26/2020 12:00:00 AM,,,7,2,1644,BRIAN,,1644,0,1317,3/25/2022 12:00:00 AM,,,1745,,,0,DRUMMONDDR,0,0,1992,System.Byte[],{4160bf93-a2f1-490a-8343-372f85c7d3f6},14499,1,0,5ec85ea0-171f-4d8d-b225-97e39df7ddb8,4625,1644,0.00479693196570576,1A,Dr
32,1,1,,MARLOWE RD,3300,5,2, ,CDS,0,190,0,DRYDEN,6,0,37050,22,105,2/26/2020 12:00:00 AM,,,7,2,1645,BRIAN,,1645,0,1317,3/25/2022 12:00:00 AM,,,1748,,,0,DRYDENCT,0,0,0,System.Byte[],{f3dc8980-81d7-49d8-9281-740e70f0a420},4323,1,0,e79d83c0-4312-418d-9d7b-ff006d162848,11904,1645,0.000606970548450083,1A,Ct
33,1,1,,SIX FORKS RD,100,1,2, ,END C&G,0,374,0,DUBLIN,15,1,35253,26,105,2/26/2020 12:00:00 AM,,,7,2,1646,BRIAN,,1646,0,1317,3/25/2022 12:00:00 AM,,,1749,,,0,DUBLINRD,0,0,0,System.Byte[],{2efc43aa-e3fd-4a35-be30-e2ff5d67958f},20907,1,0,8cdba0e0-acb8-41cb-9f39-3f640a37fef4,6512,1646,0.00118382624521509,1A,Rd
34,1,1,,SHAWOOD DR,300,1,0, ,BEG C&G,0,243,0,DUBLIN,15,0,28318,19,105,2/26/2020 12:00:00 AM,,,7,2,1647,BRIAN,,1647,0,1317,3/25/2022 12:00:00 AM,,,1749,,,0,DUBLINRD,0,0,0,System.Byte[],{b27956ed-c27f-43e2-9bed-b3e998dfbfce},19249,1,0,907939cf-4f24-4696-946f-91175264224c,2884,1647,0.000825283901409322,1A,Rd
35,1,1,,BEG C&G,304,1,2, ,CDS,0,162,0,DUBLIN,15,0,33123,26,105,2/26/2020 12:00:00 AM,,,7,2,1648,BRIAN,,1648,0,1317,3/25/2022 12:00:00 AM,,,1749,,,0,DUBLINRD,0,0,0,System.Byte[],{b1afb839-935f-41c5-ab0d-b3e30b8215c7},21878,1,0,e25c6a43-1258-4fe1-8706-1ef18e4c9b04,814,1648,0.000616030217250318,1A,Rd
36,1,1,,WYNEWOOD DR,5100,2,2, ,CDS,0,314,0,DUCKWORTH,6,0,31990,22,105,2/26/2020 12:00:00 AM,,,7,2,1649,BRIAN,,1649,1991,1317,3/25/2022 12:00:00 AM,,,1753,,,0,DUCKWORTHCT,0,0,2017,System.Byte[],{04d8f9d6-c64f-4ed2-97a0-568216838742},3912,1,0,fdb4f7af-7cc4-48fd-ba5e-14792edbc95d,2536,1649,0.000898292732381335,1A,Ct
37,1,1,,DELANY DR,1500,3,2, ,CDS,0,157,0,DUDLEY,5,0,1636,22,105,2/26/2020 12:00:00 AM,,,7,2,1650,BRIAN,,1650,0,1317,3/25/2022 12:00:00 AM,,,1754,,,0,DUDLEYCR,0,0,2014,System.Byte[],{cebafbab-c65a-4fe7-a17d-1240d33d9c46},13056,1,0,fd1e83ff-2f78-42e0-8c25-3fc08d26e456,815,1650,0.000542767091173487,1A,Cr
38,1,1,,CURFMAN ST,1200,4,2, ,END PVMT #1234,0,630,0,DUFFY,12,0,14269,22,105,2/26/2020 12:00:00 AM,,,7,2,1651,BRIAN,,1651,0,1317,3/25/2022 12:00:00 AM,,,1755,,,0,DUFFYPL,0,0,0,System.Byte[],{f6551e7c-c823-48a1-a9ae-3fb5778cd8d3},3366,1,0,aaf1ed17-0d06-44db-ab14-265cac9db1ee,5030,1651,0.00184007028826796,1A,Pl
39,1,1,,SWEETBRIAR DR,500,1,2, ,LATIMER RD,0,372,0,DUKE,8,0,33476,22,105,2/26/2020 12:00:00 AM,,,7,2,1652,BRIAN,,1652,0,1317,3/25/2022 12:00:00 AM,,,1756,,,0,DUKEDR,0,0,1999,System.Byte[],{c9e63159-60b7-4021-9217-b6bb3cbb9c86},17082,1,0,4a6f6670-c898-4620-b112-49b5117d9bc4,11197,1652,0.00123278815469819,1A,Dr
40,1,1,,LATIMER RD,600,1,2, ,AUBURN RD,0,910,0,DUKE,8,0,33475,22,105,2/26/2020 12:00:00 AM,,,7,2,1653,BRIAN,,1653,0,1317,3/25/2022 12:00:00 AM,,,1756,,,0,DUKEDR,0,0,2001,System.Byte[],{727433dd-3991-4c8b-ab7e-853e46412902},11827,1,0,165e8740-174a-45a4-8127-c4606290d7ba,11911,1653,0.00305993825647368,1A,Dr
41,1,1,,OLD FORGE CR,5600,1,2, ,WINDBUR PL,0,383,0,DUMFRIES,8,1,31651,22,105,2/26/2020 12:00:00 AM,,,7,2,1654,BRIAN,,1654,0,1317,3/25/2022 12:00:00 AM,,,1757,,,0,DUMFRIESDR,0,0,2009,System.Byte[],{0bec5a50-6b08-430b-8cf5-a15d50cb5601},1232,1,0,b234be5c-1fd6-47fa-854a-b66bd4195679,4749,1654,0.00104358572989096,1A,Dr
42,1,1,,WINDBUR PL,5700,1,2, ,ELBERON PL,0,421,0,DUMFRIES,8,1,33079,22,105,2/26/2020 12:00:00 AM,,,7,2,1655,BRIAN,,1655,0,1317,3/25/2022 12:00:00 AM,,,1757,,,0,DUMFRIESDR,0,0,2009,System.Byte[],{b62dd852-bdd4-4206-bdc2-82382a141b21},11771,1,0,dc6c3ab1-d6fb-40c5-9a3d-2749c95f192e,10229,1655,0.00115828958370358,1A,Dr
43,1,1,,ELBERON PL,5800,1,2, ,FALLS CHURCH RD,0,328,0,DUMFRIES,8,1,33220,22,105,2/26/2020 12:00:00 AM,,,7,2,1656,BRIAN,,1656,0,1317,3/25/2022 12:00:00 AM,,,1757,,,0,DUMFRIESDR,0,0,2009,System.Byte[],{2939834f-7779-49e3-96d5-db5d01586db5},17045,1,0,dc317234-7089-4e1a-8404-5720a7e328a4,8373,1656,0.000942760731566805,1A,Dr
44,1,1,,ASHBURTON RD,5000,4,2, ,GENEVA ST,0,649,0,DUNBAR,15,0,4748,22,105,2/26/2020 12:00:00 AM,,,7,2,1657,BRIAN,,1657,0,1317,3/25/2022 12:00:00 AM,,,1759,,,0,DUNBARRD,0,0,1992,System.Byte[],{12138106-4d82-4e92-adaa-79dd1adf0bfd},8293,1,0,79984acd-d3a1-4c31-959b-2d74542e15b6,855,1657,0.00219017878973587,1A,Rd
45,1,1,,BICKETT BV,100,5,2, ,WILLS AV,0,360,0,DUNCAN,18,2,2535,20,105,2/26/2020 12:00:00 AM,,,7,2,1658,BRIAN,,1658,0,1317,3/25/2022 12:00:00 AM,,,1761,,,0,DUNCANST,0,0,1998,System.Byte[],{c5041cef-cc36-4b85-9147-04446da6fc07},111,1,0,3aa38c5b-b35d-4605-9cd3-978c76b2d81b,12119,1658,0.00118774677360297,1A,St
