street_name,from,to,treatment,verified_sy,resurfaced_year,square_yards,street_id,street_name_merge,COR_BEGIN_,COR_END_DE,utility_poles,light_poles,sidewalks,notes
GRAND CYPRESS CT,WILD DUNES DR,CDS,ARA-Ti,1895,2022,1895,23,GRAND CYPRESS CT,WILD DUNES DR,CDS,No,Yes,No,
GREYSTONE DR,PONY RUN RD,PONY RUN RD,ARA-Ti,4453,2022,4453,24,GREYSTONE DR,PONY RUN RD,PONY RUN RD,No,Yes,Yes,
GROVEWOOD PL,GROVE AV,CDS,ARA-Ti,1257,2019,1257,25,GROVEWOOD PL,GROVE AV,CDS,No,No,No,
HAMPTON RD,RIDGE RD,KIPAWA ST,ARA-Ti,4387,2022,4387,26,HAMPTON RD,RIDGE RD,KIPAWA ST,Yes,Yes,No,
HARBOUR TOWNE DR,SOUTHALL EXT RD,CIRCLE,ARA-Ti,3344,2022,3344,27,HARBOUR TOWNE DR,SOUTHALL EXT RD,CIRCLE,No,No,No,Unclear if the circle would be included
HARVEST OAKS DR,STRICKLAND RD,LEAD MINE RD,ARA-Ti,5225,2022,5225,28,HARVEST OAKS DR,STRICKLAND RD,LEAD MINE RD,No,Yes,Yes,
HIGHWOODS BV,CAPITAL BLVD,ATLANTIC AVE,ARA-Ti,22000,2019,22000,29,HIGHWOODS BV,CAPITAL BLVD,ATLANTIC AVE,No,Yes,No,
HILL ST,OAKWOOD AV,MILBURNIE RD,ARA-Ti,3258,2022,3258,30,HILL ST,OAKWOOD AV,MILBURNIE RD,Yes,Yes,Yes,
HORIZON HIKE CT,ALDER RIDGE LN,CDS,ARA-Ti,2256,2019,2256,31,HORIZON HIKE CT,ALDER RIDGE LN,CDS,No,Yes,Yes,
HUNTLEIGH DR,CAPITAL BLVD,NEW HOPE CHURCH RD,ARA-Ti,20700,2022,20700,32,HUNTLEIGH DR,CAPITAL BLVD,NEW HOPE CHURCH RD,No,Yes,Yes,
INDIANWOOD CT,W. CDS,E. CDS,ARA-Ti,2100,2022,2100,33,INDIANWOOD CT,W. CDS,E. CDS,No,Yes,No,
KAPLAN DR,GORMAN ST,KENT RD,ARA-Ti,7133,2019,7133,34,KAPLAN DR,GORMAN ST,KENT RD,No,Yes,Yes,
KIMBERLY DR,GUNNISON PL,NORTH HILLS DR,ARA-Ti,5011,2019,5011,35,KIMBERLY DR,GUNNISON PL,NORTH HILLS DR,Yes,Yes,No,
KIPAWA ST,HAMPTON RD,SANDIA DR,ARA-Ti,1799,2022,1799,36,KIPAWA ST,HAMPTON RD,SANDIA DR,Yes,Yes,No,
LAUREL FALLS LN,TRAILWOOD HILLS DR,ALDER RIDGE LN,ARA-Ti,3426,2019,3426,37,LAUREL FALLS LN,TRAILWOOD HILLS DR,ALDER RIDGE LN,No,Yes,Yes,
LAUREL VALLEY WY,EAGLE TRACE DR,END PVMT #2324,ARA-Ti,3200,2022,3200,38,LAUREL VALLEY WY,EAGLE TRACE DR,END PVMT #2324,No,Yes,No,
LAURNET PL,COKESBURY LN,MORGAUSE PL,ARA-Ti,2129,2019,2129,39,LAURNET PL,COKESBURY LN,MORGAUSE PL,No,Yes,Yes,
LILYMOUNT DR,BROWN OWL DR,ROCKY STREAM LN,ARA-Ti,410,2019,410,40,LILYMOUNT DR,BROWN OWL DR,ROCKY STREAM LN,No,No,No,
LIMEHOUSE CT,TYLERTON DR,CDS,ARA-Ti,750,2019,750,41,LIMEHOUSE CT,TYLERTON DR,CDS,No,No,No,
LITTLE BRIER CREEK L,TW ALEXANDER DR,BRIER CREEK PKWY,ARA-Ti,17400,2022,17400,42,LITTLE BRIER CREEK LN,TW ALEXANDER DR,BRIER CREEK PKWY,No,Yes,Yes,
LONG POINT CT,WILD DUNES DR,Y TURN AROUND,ARA-Ti,1177,2022,1177,43,LONG POINT CT,WILD DUNES DR,Y TURN AROUND,No,Yes,No,
LOWER DRY FALLS CT,FARLOW GAP LN,CDS,ARA-Ti,553,2019,553,44,LOWER DRY FALLS CT,FARLOW GAP LN,CDS,No,No,No,
MACKINAC ISLAND LN,MONCACY DR,BATTLE BRIDGE RD,ARA-Ti,13630,2019,13630,45,MACKINAC ISLAND LN,MONCACY DR,BATTLE BRIDGE RD,No,Yes,Yes,
MARCOM ST,VARSITY DR,GORMAN ST,ARA-Ti,2232,2022,2232,46,MARCOM ST,VARSITY DR,GORMAN ST,Yes,Yes,Yes,
MAYRIDGE LN,PHASE LINE #1828,CDS,ARA-Ti,916,2019,916,47,MAYRIDGE LN,PHASE LINE #1828,CDS,No,Yes,Yes,
MEADOW MIST CT,CDS,SPORTING CLUB DR,ARA-Ti,4870,2019,4870,48,MEADOW MIST CT,CDS,SPORTING CLUB DR,No,Yes,Yes,
MELBOURNE RD,AUKLAND DR,RAVENWOOD DR,ARA-Ti,5545,2019,5545,49,MELBOURNE RD,AUKLAND DR,RAVENWOOD DR,Yes,Yes,Yes,
MERRYWOOD DR,BATTERY DR,E. DAVIE ST,ARA-Ti,2885,2022,2885,50,MERRYWOOD DR,BATTERY DR,E. DAVIE ST,Yes,Yes,No,
MILBURNIE RD,HILL ST,RALEIGH BLVD,ARA-Ti,3818,2022,3818,51,MILBURNIE RD,HILL ST,RALEIGH BLVD,Yes,Yes,Yes,
