"GlobalID","COR_STREET","COR_BEGIN_","COR_END_DE","ST_TYPE_ST","COR_LENGTH","COR_ST_TYP","COR_WIDTH","DIRECTION_","LANE_COUNT","LEAF_ID","yr_repave","surface","street_id","treat_year","prev_treat","treat_25","pot_treat","pot_comp","sqyd_est","duke_poles","lite_poles","pole_est","sidewalks","any_poles","grid_code","LCZ_filter","LCZ_desc","UHI_Qtile","pct_treec","hw_af_hi_f","hw_af_t_f","hw_am_hi_f","hw_am_t_f","hw_pm_hi_f","hw_pm_t_f","UHI_Qtile2","repave_grp","weights","subclass","randomize","select_loc","GMaps_ID"
"6914358b-bbc3-486e-bc9b-c7621ca95f14","NORTHFIELD","LAKEMONT DR","CDS","Dr",1421,8,22,0,2,"1A",2022,1,57,NA,0,1,1,0,3473.55555555556,"Yes","Yes",15,"No",1,6,"6","Open lowrise",8,0.829896907216,86.2577556610107,84.2186514718192,68.5719947269984,67.9017047337123,83.1535694667271,80.7426765986851,8,"newer",1,"50",39,FALSE,"NORTHFIELD_LAKEMONT DR_CDS"
"cffd2d5a-f53f-408e-9107-6c25e3ad39f7","PINEVIEW","KAPLAN DR","WICKHAM RD","Dr",348,8,26,0,2,"1A",2021,1,NA,NA,0,0,0,1,1005.33333333333,"Yes","Yes",4,"No",1,6,"6","Open lowrise",6,0.965517241379,85.7175010122904,84.1328035680259,68.3820562595274,67.7776993542183,83.5513588509909,80.383710721644,6,"newer",1,"11",1,TRUE,"PINEVIEW_KAPLAN DR_WICKHAM RD"
"a44691a2-9a14-4e21-9b37-4f04e10dd53d","PINEVIEW","WICKHAM RD","NEWCASTLE RD","Dr",377,8,26,0,2,"1A",2021,1,NA,NA,0,0,0,1,1089.11111111111,"Yes","Yes",2,"No",1,6,"6","Open lowrise",6,1,85.6014733663419,83.8941572235852,68.2532056482827,67.6606800730635,83.3184194797423,80.3642526021818,6,"newer",1,"18",92,FALSE,"PINEVIEW_WICKHAM RD_NEWCASTLE RD"
"9ad46696-094a-4483-a132-e9c4dc4d4c27","ROTHGEB","WEBB ST","WALDEN PL","Dr",1337,8,22,0,2,"1A",2021,1,NA,NA,0,0,0,1,3268.22222222222,"Yes","Yes",8,"No",1,11,"A","Dense Trees (LCZ A)",5,0.844086021505,84.968752679024,82.9638298558825,68.2287535922218,67.3605091590008,81.3087801168893,79.6186281160544,5,"newer",1,"4",26,FALSE,"ROTHGEB_WEBB ST_WALDEN PL"
"c3654464-df8e-45c0-9d2f-f8f253665a3f","OAKWOOD","N. TARBORO ST","ST AUGUSTINE AV","Av",1003,2,30,0,2,"1A",2022,1,58,NA,0,1,1,0,3343.33333333333,"Yes","Yes",12,"Yes",1,6,"6","Open lowrise",10,0.0140845070423,87.1107601589627,84.8822372898911,68.5610743821269,67.7641539910827,84.1597440315015,81.3728122133197,10,"newer",1,"53",86,FALSE,"OAKWOOD_N. TARBORO ST_ST AUGUSTINE AV"
"4fd9e761-2cf4-4357-92af-073d8482207b","OAKWOOD","ST AUGUSTINE AV","HILL ST","Av",391,2,30,0,2,"1A",2022,1,58,NA,0,1,1,0,1303.33333333333,"Yes","Yes",3,"Yes",1,6,"6","Open lowrise",10,0,87.2174252596768,84.8024272918701,68.6164415532892,67.9141684445468,83.8412368080833,81.1101535450329,10,"newer",1,"54",27,TRUE,"OAKWOOD_ST AUGUSTINE AV_HILL ST"
"d0049fb5-08ff-403d-95f3-68960eb9ef52","OBERLIN","CRAIG ST","COLONIAL RD","Rd",1172,15,30,0,2,"1A",2023,1,NA,NA,0,0,0,1,3906.66666666667,"Yes","Yes",9,"Yes",1,6,"6","Open lowrise",7,0.907407407407,86.6773291315351,84.4057137625558,69.344428403037,68.7813267707825,83.8120220048087,81.1698162215097,7,"newer",1,"88",104,FALSE,"OBERLIN_CRAIG ST_COLONIAL RD"
"7ef9d7e1-9f50-4def-bbe2-0f2f5f80fc34","OBERLIN","COLONIAL RD","DOVER RD","Rd",471,15,30,0,2,"1A",2023,1,NA,NA,0,0,0,1,1570,"Yes","Yes",3,"Yes",1,6,"6","Open lowrise",8,0.56338028169,86.455927213033,84.4019556045532,69.1620365778605,68.6156558990478,83.7814302444458,81.2088405291239,8,"newer",1,"57",64,FALSE,"OBERLIN_COLONIAL RD_DOVER RD"
"ba5862b1-9b9f-4d49-a580-36e29efe80a5","PLAZA","TURNSTONE DR","TROONE CT","Pl",494,12,36,0,2,"1A",2020,1,NA,NA,0,0,0,1,1976,"Yes","Yes",2,"Yes",1,6,"6","Open lowrise",6,0.945205479452,86.063894712008,84.1676070873554,68.1672592163086,67.5438543466421,83.4829811683068,80.9838567880484,6,"older",1,"32",97,FALSE,"PLAZA_TURNSTONE DR_TROONE CT"
"aa6c86ca-c2b8-40c3-8948-3348ea07aad9","OBERLIN","MIDDLE CT","GREENWAY AV","Rd",287,15,27,0,2,"1A",2023,1,NA,NA,0,0,0,1,861,"Yes","Yes",2,"Yes",1,6,"6","Open lowrise",6,0.458333333333,85.5932878063571,84.4319920693674,68.7944781395697,68.0666929675687,84.2191196564705,81.8667395807082,6,"newer",1,"10",10,TRUE,"OBERLIN_MIDDLE CT_GREENWAY AV"
"a95dde09-a885-4c04-a971-6edeb654143b","OBERLIN","CARTIER DR","GLENWOOD AVE","Rd",612,15,34,0,2,"1A",2023,1,NA,NA,0,0,0,1,2312,"Yes","Yes",9,"Yes",1,6,"6","Open lowrise",6,0.5,85.8001032026987,84.7596044389029,68.8114525931222,67.9069073389446,84.3180515349857,82.3662361266121,6,"newer",1,"45",93,FALSE,"OBERLIN_CARTIER DR_GLENWOOD AVE"
"d384e850-dbd4-433a-9e27-7f27088808ca","WATAUGA","N. BOUNDARY ST","E. FRANKLIN ST","St",686,18,22,0,2,"1A",2021,1,NA,NA,0,0,0,1,1676.88888888889,"Yes","Yes",3,"Yes",1,6,"6","Open lowrise",10,0.61,87.1505746150363,85.0799828128538,69.1052260467972,68.2939257414444,84.5250804735267,81.4904394840849,10,"newer",1,"111",3,TRUE,"WATAUGA_N. BOUNDARY ST_E. FRANKLIN ST"
"12c0e083-82fb-433c-89f1-420022b7f2aa","PURDUE","BAYLOR CT","RADCLIFF RD","St",170,18,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,415.555555555556,"Yes","Yes",2,"No",1,6,"6","Open lowrise",7,1,86.1340810602361,84.2624806490811,68.2243007313121,67.6153016523881,83.4581153176048,80.9551800814542,7,"newer",1,"23",19,TRUE,"PURDUE_BAYLOR CT_RADCLIFF RD"
"65408ac1-d3c2-4833-ab62-ba18b13aa2c2","PURDUE","BROOKHURST PL","DEVONWOOD PL","St",690,18,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,1686.66666666667,"Yes","Yes",5,"Yes",1,6,"6","Open lowrise",7,1,86.3148304530552,83.9586044311523,68.2539787292481,67.498157610212,82.7537161690848,80.4322429112026,7,"newer",1,"60",55,FALSE,"PURDUE_BROOKHURST PL_DEVONWOOD PL"
"87d00ae7-0632-4bfd-9025-048e1f72b29a","PURDUE","DEVONWOOD PL","QUAIL HOLLOW DR","St",368,18,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,899.555555555556,"Yes","Yes",1,"Yes",1,11,"A","Dense Trees (LCZ A)",7,0.559322033898,85.9440309524536,84.040502166748,68.4736951828003,67.7361778259277,83.4242532730103,80.93948802948,7,"newer",1,"105",2,TRUE,"PURDUE_DEVONWOOD PL_QUAIL HOLLOW DR"
"a2d1ca77-09fb-410a-be05-66e271ec274c","SCOUTING","LITCHFORD RD","CHEERFUL CT","Tr",146,20,36,0,2,"1A",2021,1,NA,NA,0,0,0,1,584,"No","Yes",1,"No",1,6,"6","Open lowrise",2,0.148148148148,85.9350479125977,84.2884140014648,68.7561882019043,68.0011135101318,83.9656276702881,81.2925727844238,2,"newer",1,"89",98,FALSE,"SCOUTING_LITCHFORD RD_CHEERFUL CT"
