"StreetName","Shade","Sidewalk","GMaps_ID","DukePoleID","St2Pole_in","SW_Front","SW_Back","Cross_St","SensDirect","SensorID","StDirect","longitude_","latitude_y","GlobalID","CreationDa","Creator","EditDate","Editor","GlobalID.y","COR_STREET","COR_BEGIN_","COR_END_DE","ST_TYPE_ST","COR_LENGTH","COR_ST_TYP","COR_WIDTH","DIRECTION_","LANE_COUNT","LEAF_ID","yr_repave","surface","street_id","treat_year","prev_treat","treat_25","pot_treat","pot_comp","sqyd_est","duke_poles","lite_poles","pole_est","sidewalks","any_poles","grid_code","LCZ_filter","LCZ_desc","UHI_Qtile","pct_treec","hw_af_hi_f","hw_af_t_f","hw_am_hi_f","hw_am_t_f","hw_pm_hi_f","hw_pm_t_f","UHI_Qtile2","repave_grp","weights","subclass","randomize","select_loc","lon_x","lat_y"
"Battery","Yes","No","BATTERY_MERRYWOOD DR_E. MARTIN ST","CP&L VX32 BJ","12","N/A","N/A","No","231 SW","3085259","132 SE",-78.61639652,35.77702339,"3a3b87df-fd92-456c-a100-12d5dbeffc86",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","484332ca-46b7-434a-8eb6-962e7f3b6da7","BATTERY","MERRYWOOD DR","E. MARTIN ST","Dr",850,8,22,0,2,"1A",2022,1,5,NA,0,1,1,0,2077.77777777778,"Yes","Yes",3,"No",1,6,"6","Open lowrise",10,0.690476190476,86.662484501185,84.175017367588,68.4673583641481,67.7975292420119,82.7738992069544,80.3090907750505,10,"newer",1,111,3,TRUE,-78.616396523517,35.7770233883718
"Merrywood","Yes","No","MERRYWOOD_E. MARTIN ST_E. DAVIE ST","RB75BJ","23","N/A","N/A","No","280 W","2974343","190 S",-78.61716485,35.77540725,"15106d60-2f89-404c-a309-553cdaefd125",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","74eff3e1-8012-4065-9c64-02a1bf14cfa1","MERRYWOOD","E. MARTIN ST","E. DAVIE ST","Dr",521,8,26,0,2,"1A",2022,1,50,NA,0,1,1,0,1505.11111111111,"Yes","Yes",6,"No",1,6,"6","Open lowrise",10,0.864197530864,86.4728855405535,84.2036113739014,68.2546892166138,67.6843517848423,82.5974160603115,80.0938990456717,10,"newer",1,23,19,TRUE,-78.6171648498846,35.775407246179
"Crabtree","Yes","No","CRABTREE_BEG PVMT #1021_CHATHAM LN","PEC ML03BK","26","N/A","N/A","Yes","65 NE","2974338","351 N",-78.5975288,35.79372348,"4258a9f0-979d-44ec-80c9-cc8715436368",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","b029c1a7-c09f-4399-a802-9e51d5592396","CRABTREE","BEG PVMT #1021","CHATHAM LN","Bv",147,4,34,0,2,"1A",2022,1,15,NA,0,1,1,0,555.333333333333,"Yes","No",1,"No",1,11,"A","Dense Trees (LCZ A)",7,1,86.426102031361,82.9415720159357,67.245210127397,66.7074779163707,80.6008349331942,79.1244486028498,7,"newer",1,81,35,TRUE,-78.597528795278,35.7937234767523
"Fairview Access","No","No","FAIRVIEW ACCESS_PRIV PROP #1107_CAPITAL BLVD ACCESS","CP&L RDF19","22","N/A","N/A","No","139 SE","2974168","42 NE",-78.64064255,35.79743843,"8fd2a30d-d7aa-4b3e-9841-14aa2c59cff6",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","18c9a37a-078f-44a7-8c4e-b72db8f6f9cc","FAIRVIEW ACCESS","PRIV PROP #1107","CAPITAL BLVD ACCESS","Rd",552,15,20,0,2,"1A",2022,1,NA,NA,0,0,0,1,1226.66666666667,"Yes","Yes",3,"No",1,6,"6","Open lowrise",10,0,85.6258534213953,84.2458484047338,69.4435043334961,68.6015657123767,85.2346333286219,82.7813513237133,10,"newer",1,39,17,TRUE,-78.6406425498038,35.7974384324027
"Wakefield Pines","No","Yes","WAKEFIELD PINES_SCHOOLHOUSE ST_MABRY MILL ST","CP&L 8YL77","144","Yes","No","No","233 SW","2968897","143 SE",-78.56889557,35.94869547,"46b4f29c-de03-450e-8a92-81ea5b3e3a88",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","77e6ccae-f5b5-47f3-abb3-db53fb7943fe","WAKEFIELD PINES","SCHOOLHOUSE ST","MABRY MILL ST","Dr",836,8,66,0,6,"1A",2022,1,88,NA,0,1,1,0,6130.66666666667,"No","Yes",4,"Yes",1,6,"6","Open lowrise",1,0.0813008130081,87.1050037290992,84.7728742273842,68.5139282970893,67.8983202678401,84.4587154853635,81.9271425386754,1,"newer",1,90,8,TRUE,-78.5688955660269,35.9486954749218
"Wakefield Pines","Yes","Yes","WAKEFIELD PINES_KELWAY DR_SARGAS ST","CP&L 8YL40","129","Yes","No","No","15 N","2953655","285 W",-78.56335239,35.94494853,"ba1e6768-2e32-42ec-95a4-e4c5e3407da4",2025-06-19,"kburley_UNC",2025-06-23,"kburley_UNC","0c697369-7417-4254-a917-cedff5377e7e","WAKEFIELD PINES","KELWAY DR","SARGAS ST","Dr",721,8,44,0,4,"1A",2022,1,88,NA,0,1,1,0,3524.88888888889,"No","Yes",3,"Yes",1,6,"6","Open lowrise",2,0.596153846154,86.6472458512816,84.8901203103261,69.5842748145535,68.8178337828754,84.2204712123087,81.7945508564988,2,"newer",1,93,20,TRUE,-78.5633523929886,35.944948528792
"Wakefield Pines","Yes","Yes","WAKEFIELD PINES_SARGAS ST_WAKEFIELD SPRING ENT","CP&L 8YL58","137","Yes","No","No","215 SW","2968895","125 SE",-78.56153174,35.94437858,"711eaf63-1633-470a-9063-22deab5f9b71",2025-06-19,"kburley_UNC",2025-06-23,"kburley_UNC","84fa401e-e9f0-4a03-ac81-8566a22f2738","WAKEFIELD PINES","SARGAS ST","WAKEFIELD SPRING ENT","Dr",499,8,44,0,4,"1A",2022,1,88,NA,0,1,1,0,2439.55555555556,"No","Yes",3,"Yes",1,6,"6","Open lowrise",2,0.0540540540541,86.6608171283074,85.1809097865842,69.6790018621481,68.8189966453696,84.754645869417,82.3106264798146,2,"newer",1,94,30,TRUE,-78.5615317360797,35.9443785837819
"Wakefield Pines","No","Yes","WAKEFIELD PINES_WAKEFIELD SPRING ENT_FALLS OF NEUSE RD","CP&L 8YL53","121","Yes","No","No","60 NE","2799139","330 NW",-78.5599173,35.94352885,"df308125-bec0-4fb0-b2a9-a6d44fd7f4a9",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","11cadd2c-9eb9-4264-99c8-edf1825c590c","WAKEFIELD PINES","WAKEFIELD SPRING ENT","FALLS OF NEUSE RD","Dr",548,8,56,0,5,"1A",2022,1,88,NA,0,1,1,0,3409.77777777778,"No","Yes",6,"Yes",1,6,"6","Open lowrise",2,0,86.6592814581735,85.4100933074951,69.4076002665928,68.5607039587838,84.8467196055821,82.4040793010167,2,"newer",1,95,25,TRUE,-78.5599172955292,35.9435288469204
"Dunn","Yes","Yes","DUNN_ELEGANCE DR_OAKCROFT DR","CP&L 11KW16","123","Yes","No","No","180 S","2968893","90 E",-78.57942327,35.92509925,"79511795-95d7-40e1-a8aa-ccc1da861c27",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","0fd8eaa4-7ba2-42c0-ae45-6c100a44c83c","DUNN","ELEGANCE DR","OAKCROFT DR","Rd",717,15,45,0,4,"1A",2023,1,NA,NA,0,0,0,1,3585,"Yes","Yes",4,"Yes",1,6,"6","Open lowrise",1,0.728155339806,86.8088739755991,84.6989987347577,68.7756344563252,68.3530241476523,84.6032218933105,81.9714575071593,1,"newer",1,93,20,TRUE,-78.5794232731844,35.9250992509726
"Oberlin","No","Yes","OBERLIN_MIDDLE CT_GREENWAY AV","Duke 20JA57","53","No","Yes","No","52 NE","2968879","332 NW",-78.65640279,35.81101214,"a8e5d3ab-0dc4-463a-a0dc-ef75cca7b5d3",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","aa6c86ca-c2b8-40c3-8948-3348ea07aad9","OBERLIN","MIDDLE CT","GREENWAY AV","Rd",287,15,27,0,2,"1A",2023,1,NA,NA,0,0,0,1,861,"Yes","Yes",2,"Yes",1,6,"6","Open lowrise",6,0.458333333333,85.5932878063571,84.4319920693674,68.7944781395697,68.0666929675687,84.2191196564705,81.8667395807082,6,"newer",1,10,10,TRUE,-78.6564027925744,35.8110121392531
