Device Name,D2 - 2401090
Device Model,Kestrel DROP 2
Serial Number,2401090
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,%,°F,°F
2025-06-22 10:20:00 PM,82.8,71.4,89.2,72.6,point
2025-06-22 10:40:00 PM,82.8,71.0,89.1,72.4,point
2025-06-22 11:00:00 PM,82.3,71.3,88.0,72.1,point
2025-06-22 11:20:00 PM,81.8,71.1,86.9,71.5,point
2025-06-22 11:40:00 PM,81.6,70.6,86.5,71.1,point
2025-06-23 12:00:00 AM,80.9,71.4,85.3,70.8,point
2025-06-23 12:20:00 AM,80.3,72.6,84.7,70.7,point
2025-06-23 12:40:00 AM,80.6,71.0,84.9,70.3,point
2025-06-23 01:00:00 AM,80.9,70.6,85.3,70.4,point
2025-06-23 01:20:00 AM,80.7,71.1,84.9,70.5,point
2025-06-23 01:40:00 AM,80.7,71.1,84.9,70.5,point
2025-06-23 02:00:00 AM,80.4,72.6,84.7,70.8,point
2025-06-23 02:20:00 AM,80.6,72.2,84.9,70.8,point
2025-06-23 02:40:00 AM,80.5,73.0,84.9,71.1,point
2025-06-23 03:00:00 AM,79.6,75.1,83.8,71.0,point
2025-06-23 03:20:00 AM,78.4,78.1,82.0,71.0,point
2025-06-23 03:40:00 AM,78.1,79.6,82.0,71.3,point
2025-06-23 04:00:00 AM,78.0,79.5,81.7,71.2,point
2025-06-23 04:20:00 AM,77.9,79.9,81.7,71.2,point
2025-06-23 04:40:00 AM,76.7,82.8,79.5,71.1,point
2025-06-23 05:00:00 AM,76.1,85.0,79.0,71.3,point
2025-06-23 05:20:00 AM,75.6,86.2,78.4,71.2,point
2025-06-23 05:40:00 AM,75.0,87.8,77.7,71.2,point
2025-06-23 06:00:00 AM,74.6,88.9,77.4,71.1,point
2025-06-23 06:20:00 AM,74.2,90.4,77.0,71.2,point
2025-06-23 06:40:00 AM,74.7,90.0,77.7,71.5,point
2025-06-23 07:00:00 AM,74.9,89.7,77.7,71.7,point
2025-06-23 07:20:00 AM,77.1,84.8,80.6,72.1,point
2025-06-23 07:40:00 AM,78.5,81.3,82.9,72.3,point
2025-06-23 08:00:00 AM,79.6,79.0,84.7,72.5,point
2025-06-23 08:20:00 AM,80.9,76.1,86.4,72.7,point
2025-06-23 08:40:00 AM,82.3,74.0,88.7,73.2,point
2025-06-23 09:00:00 AM,83.8,71.1,91.4,73.4,point
2025-06-23 09:20:00 AM,85.0,68.1,93.4,73.3,point
2025-06-23 09:40:00 AM,86.1,66.0,95.0,73.4,point
2025-06-23 10:00:00 AM,87.3,63.1,96.6,73.2,point
2025-06-23 10:20:00 AM,89.5,59.0,99.9,73.2,point
2025-06-23 10:40:00 AM,91.1,56.7,102.7,73.6,point
2025-06-23 11:00:00 AM,93.0,54.7,105.8,74.2,point
2025-06-23 11:20:00 AM,95.4,51.1,109.9,74.4,point
2025-06-23 11:40:00 AM,96.6,49.0,111.2,74.3,point
2025-06-23 12:00:00 PM,97.6,49.5,114.1,75.5,point
2025-06-23 12:20:00 PM,96.9,48.2,111.2,74.0,point
2025-06-23 12:40:00 PM,98.0,47.2,113.0,74.5,point
2025-06-23 01:00:00 PM,99.4,46.5,115.7,75.3,point
